question_id,Source,question,answer_a,answer_b,answer_c,answer_d,answer_e,answer_f,answer_g,correct_answer,category,pedagogical_subdomain,age_group,year,secondary_category,pred_gemma-3-27b,Latency_gemma-3-27b,TokensUsed_gemma-3-27b,TokensUsedCompletion_gemma-3-27b,TokensUsedReasoning_gemma-3-27b,pred_gemma-3-4b-it,Latency_gemma-3-4b-it,TokensUsed_gemma-3-4b-it,TokensUsedCompletion_gemma-3-4b-it,TokensUsedReasoning_gemma-3-4b-it,pred_o4-mini-2025-04-16,Latency_o4-mini-2025-04-16,TokensUsed_o4-mini-2025-04-16,TokensUsedCompletion_o4-mini-2025-04-16,TokensUsedReasoning_o4-mini-2025-04-16,pred_qwen-3-32b,Latency_qwen-3-32b,TokensUsed_qwen-3-32b,TokensUsedCompletion_qwen-3-32b,TokensUsedReasoning_qwen-3-32b,pred_fw-deepseek-r1-0528,Latency_fw-deepseek-r1-0528,TokensUsed_fw-deepseek-r1-0528,TokensUsedCompletion_fw-deepseek-r1-0528,TokensUsedReasoning_fw-deepseek-r1-0528,pred_gemini-2.5-pro-preview-06-05,Latency_gemini-2.5-pro-preview-06-05,TokensUsed_gemini-2.5-pro-preview-06-05,TokensUsedCompletion_gemini-2.5-pro-preview-06-05,TokensUsedReasoning_gemini-2.5-pro-preview-06-05,pred_gpt-5-2025-08-07-medium,Latency_gpt-5-2025-08-07-medium,TokensUsed_gpt-5-2025-08-07-medium,TokensUsedCompletion_gpt-5-2025-08-07-medium,TokensUsedReasoning_gpt-5-2025-08-07-medium,pred_claude-sonnet-4-5-20250929,Latency_claude-sonnet-4-5-20250929,TokensUsed_claude-sonnet-4-5-20250929,TokensUsedCompletion_claude-sonnet-4-5-20250929,TokensUsedReasoning_claude-sonnet-4-5-20250929,pred_gemini-2.5-flash-preview-09-2025,Latency_gemini-2.5-flash-preview-09-2025,TokensUsed_gemini-2.5-flash-preview-09-2025,TokensUsedCompletion_gemini-2.5-flash-preview-09-2025,TokensUsedReasoning_gemini-2.5-flash-preview-09-2025,pred_gemini-2.5-flash-lite-preview-09-2025,Latency_gemini-2.5-flash-lite-preview-09-2025,TokensUsed_gemini-2.5-flash-lite-preview-09-2025,TokensUsedCompletion_gemini-2.5-flash-lite-preview-09-2025,TokensUsedReasoning_gemini-2.5-flash-lite-preview-09-2025
13,Pedagogy Benchmark Luganda,"Soma embeera eno: Mu kibiina ky'abaana abato, Ignacio ayanjula ku ky'ekyennyanja ekya clownfish eraannyonnyola bagenzi be nti ekika kino kifuna obukuumi okuva ku ttooki y'ennyanja okulwanyisa abalya ebyennyanja ebirala, ate era n'ettooki y'ennyanja ekuumibwa kubanga ekyennyanja kigoba ebyennyanja ebirala ebigirya. Omusomesa ayingirawo okubannyonnyola erinnya ly'ekika ky'enkolagana y'ebiramu ekyogeddwaako omwana. Nkola ki ey'enkolagana y'ebiramu omusomesa gy'asaanidde okwogerako mu kunnyonnyola kwe?
","Obuwangwa obw’okubeera awamu nga ekimu ku biramu kiganyulwa ate ekirala tekirina kye kifuna wadde okufiirwa.
","Amensalism kitegeeza omukwano wakati w'ebiriwo ebimu gye kiremesa ekirala so nga kyo tekirina kye kifiirwa.
","Obutalina ludda lwe bayimiriddeko
","Omukwano ogw'obuyambi obwa buli omu
",,,,D,Science,Teaching strategies,Primary,2017,,A,1.531799599993974,1812,3,0.0,B,1.1999393000733107,1811,2,,D,7.913152199937031,2125,531,512,B,8.7022056998685,2134,230,,D,4.810657399939373,2314,406,,D,9.045229699928312,2495,1,693,D,9.81298069981858,2115,521,512,D,3.179380799876526,2033,4,0,D,4.337152699939907,2498,1,696,D,1.6930611999705434,1802,1,
14,Pedagogy Benchmark Luganda,"Omusomesa yeetaaga abayizi be okutegeera amakulu g'obwolekero bw'obusaale mu nsaano z'emmere. Biki abayizi bye balina okutegeera okutuuka ku kiruubirirwa kino?
","Empyaamida z'omuwendo gw'abantu kinnoomu mu nkola z'ebiramu
","Emikwano gy'ebiramu egy'enjawulo
","Abaguzi abakulu n'abaguzi abaddala
","Enkyukakyuka n'okukuuma amasoboza
",,,,D,Science,Teaching strategies,"Primary, Secondary",2017,,B,1.1723109998274597,1638,2,,B,4.213092599995434,1638,2,,C,8.689993599895388,2036,595,576,B,11.152766399784014,2122,412,,C,4.7487888999748975,2107,394,,D,9.07906789984554,2361,1,732,B,11.813705999869851,2028,587,576,C,2.7884128999430686,1841,4,0,D,3.8170445999130607,2173,1,544,B,1.206116700079292,1629,1,
15,Pedagogy Benchmark Luganda,"Mu kitundu ekikwata ku nkola y’omusaayi okutambula mu mubiri, omusomesa akola ku nkulaakulana ez’omulembe, gamba nga byuma bipima omutima, abayizi be basobole okutegeera engeri sayansi gy’akoleramu ng’ekibiina era ng’akyuka. Ku bikolwa bino wammanga, kiki ekikyama okuva ku kiruubirirwa omusomesa ky’ayagala abayizi be batuukeko?
","Mukole omutindo gw’akakodyo akakolera omutima (pacemaker) mu bibinja nga mugoberera enkola entongole era entuufu.
","Kola okunoonyereza ku nkulaakulana y'ebyuma ebiyamba omutima okukuba (pacemakers) era okole olupapula olulimu amawulire agakwata ku nsonga eyo.
","Teekawo akapanero akawa amawulire agakwata ku nkulaakulana ez'omulembe mu byuma ebiyamba omutima okukuba (pacemakers).
","Lambulula olutalo lw'ebiseera olulimu bannasayansi abaayambako okutegeera ebimanyiddwa ku byuma ebiyamba omutima okukuba (pacemakers)
",,,,A,Science,Teaching strategies,"Primary, Secondary",2017,,B,2.001547900028527,1814,3,,B,0.9654347999021412,1814,2,,B,15.35477459989488,2777,1171,1152,B,14.08979170001112,2365,459,,D,5.68875620001927,2328,418,,A,10.018492099829018,2682,1,877,A,13.900286899879577,2320,714,704,C,2.5022982999216765,2037,4,0,A,6.022420800058171,2696,1,891,A,1.4326237000059336,1805,1,
16,Pedagogy Benchmark Luganda,"Omusomesa ayagala abayizi be okutegeera enkola y’okuzimba ng’ekitundu ku bujjaasi obw’omuzaaliranwa. Mu ndowooza zino wammanga, bayizi ki ze balina okuba nga bamaze okukwata okusobola okutuuka ku kiruubirirwa ekyo?
","Obutaffaali bwa macrophages buleetera obutaffaali bwa T lymphocytes antigens.
","Obutaffaali bwa neutrophils bulya ebika by'obulwadde eby'enjawulo.
","Obutoffaali bwa T obw’enjawulo obukwatagana n’ekizimbamubiri ekimu bukola obuwumbiingirizi.
","Obutaffaali bwa B bwekyusa nebufuuka obutaffaali bwa plasma obuyimbula obuzzaalizi.
",,,,B,Science,Student understanding,Secondary,2017,,C,1.133675100049004,1709,3,,C,0.5268917002249509,1709,2,,B,19.38248479994945,3065,1556,1536,A,15.252332899952307,2197,400,,D,4.742210099939257,2180,383,,B,11.441781800007448,2739,1,1039,B,18.075103800045326,2351,842,832,D,2.3527089001145214,1916,4,0,D,5.124125299975276,2567,1,867,D,1.235193300060928,1700,1,
17,Pedagogy Benchmark Luganda,"Omusomesa alina ekigendererwa ky’okuleetera abayizi okumaliriza ku mukago oguli wakati w’omulimu gw’enkola y’okumulisa emmere n’obwetaavu bw’amaselo ag’omu mubiri obw’ebyokulya.
Kino ku bino wammanga kiki omusomesa ky’ayinza okukozesa okukakasa nti abayizi batuuse ku kigendererwa ekyo?
","Teebereza ekiteeso okumanya enkolagana wakati wa lipeesi ne lipidi.
","Okukola ekiigezo ku kikolwa kya amylase ava mu matta ku carbohydrates.
","Ssaayansi mu kugezesa ku kikolwa kya pepsin ku puloteni:

Enkyusibwa ezikozesebwa mu kugezesa:

1. Enkyusibwa ekyusibwa (Independent variable): Kino kye kintu omuntu akyusa mu kugezesa. Mu kugezesa kuno, kiyinza okuba obungi bwa pepsin.

2. Enkyusibwa ekyusibwa (Dependent variable): Kino kye kintu ekipimwa mu kugezesa. Mu kugezesa kuno, kiyinza okuba obungi bwa puloteni ezigattiddwa oba ebbanga erimazeewo okugattika puloteni.

3. Enkyusibwa eziteekeddwa okubeera nga tezikyuka (Controlled variables): Bino bye bintu byonna ebiteekeddwa okubeera nga tebikyuka mu kugezesa konna okukakasa nti enkyusibwa ekyusibwa y’ekintu kyokka ekireetawo enkyukakyuka. Mu kugezesa kuno, bino biyinz okuba nga tempeeca, pH, n’obungi bwa puloteni.
","Kebera eggrafu eraga enkyukakyuka mu busukali bw'omusaayi oluvannyuma lw'okulya emmere erimu ekiriisa kya kabohayidureeti omungi.
",,,,D,Science,Assessment,Secondary,2017,,C,3.9791411999613047,2006,3,0.0,C,0.5965535999275744,2005,2,,D,15.194084000075236,2924,1171,1152,C,6.458919600117952,2381,285,,D,5.28821919998154,2402,290,,D,12.79382780008018,3153,1,1157,D,13.23665909981355,2403,650,640,C,2.557725900085643,2239,4,0,D,5.909737100126222,2966,1,970,B,1.226183399790898,1996,1,
18,Pedagogy Benchmark Luganda,"Omukugu mu by'obulamu bw'omubiri (pulofeesa) akola ku mutwe gw'ebyenda era ayagala okunnyonnyola omukolo gw'obuwuka obutono (microbiota) mu bantu. Mu ngeri eziddwamu wammanga, lwaki abayizi balina endowooza enkyamu ku buwuka obutono (microbiota)?
","Obuwuka obwa probayotiki bukwaatagana ne bakitiiriya
","Obuwuka bwa bacteria buzisa obulamu bw'ebiramu.
","Obuwuka obuyamba omubiri okufuna ebiriisa mu byenda.
","Obujjanjabi bw’ekizimbamubiri butta obuwuka obuleeta obulwadde n’obuwuka obugasa omubiri.
",,,,B,Science,Student understanding,"Primary, Secondary",2017,,,2.202874699840322,1695,3,,A,0.5318045001477003,1694,2,,A,19.555162300122905,3245,1747,1728,D,3.809557099826634,1774,1,0.0,D,4.095281100133434,2058,282,,B,11.05458589992486,2720,1,1035,B,28.352911199908704,2852,1354,1344,D,2.470748899970204,1893,4,0,B,4.091189600061625,2343,1,658,D,1.3310795000288635,1685,1,
19,Pedagogy Benchmark Luganda,"Omusomesa ayagala abayizi be okuwa endowooza ennyonnyofu ku nkola ezimu ez’okumanya ku butaffaali bw’ebiramu. Ku bikolwa bino wammanga, kiki omusomesa kyakozesa okutuukiriza ekigendererwa kye?
","Olulimi olulaga enkyukakyuka eziibaddewo mu nkola z'okukoppa ebintu ebiramu.
","Okukola pposita ku tekiniki ezikozesebwa okukola ebiramu ebyakyusibwa ensengeka y’obutonde bwabyo.
","Okunoonyereza okw'omutendera ogw'ekirowoozo ku bujjanjabi bw'obutonde mu kuvumula endwadde.
","Omwoleso ku kukozesa obutoffaali bwa stem mu kuvumula endwadde.
",,,,D,Science,Teaching strategies,Secondary,2017,,B,1.5453551998361943,1716,3,0.0,C,0.5315545001067221,1715,2,,B,12.667068999959156,2620,1107,1088,D,10.306153299985452,2119,323,,B,4.995287600206211,2157,351,,C,12.504921999992805,2859,1,1153,B,37.91151780006476,3316,1803,1792,C,2.5318263000808656,1925,4,0,C,6.251386699965224,2681,1,975,D,1.2339864000678062,1706,1,
20,Pedagogy Benchmark Luganda,"Omusomesa alina ekigendererwa eri ekibiina kye nti abayizi be bateekwa okutegeera enkola ya plasmolysis nga bayita mu kugezesa. Ku kugezesa kulonda wammanga kwe bayizi abano bateekwa okukola okusobola okukulaakulanya okutegeera kwenkola eno?
","Nnyiga ekijjanjalo ekimenyeddwa mu mazzi agalimu omunnyo okumala essaawa bbiri, oluvannyuma okimenye nate.
","Tobesa akatundutundu k'ennyama akaabeteddwa mu mazzi ag'omunnyo okumala essaawa bbiri, oluvannyuma olyoke okabeteeze nate.
","Bikka mu mazzi ag'endulu okumala ennaku bbiri akaloozi akaabetentebwa edda mu mazzi ag'endulu era obetente nate ngaakamaze okuggyibwa mu mazzi.
","Bikka eggi eriggiddwaako olububi mu mazzi agasaliddwamu (distilled water) era olabe enkyukakyuka mu bunene bwalyo oluvannyuma lw'ennaku ssatu.
",,,,A,Science,Teaching strategies,Secondary,2017,,D,1.2991706000175327,1785,2,,D,0.7712564000394195,1785,2,,D,7.952722099842504,2170,595,576,C,10.191888800123706,2415,553,,C,4.450597100192681,2163,295,,A,13.84163250005804,3143,1,1367,A,32.835431299870834,3569,1994,1984,C,2.3867242999840528,1997,4,0,A,7.812350300140679,3102,1,1326,D,1.5385856998618692,1776,1,
21,Pedagogy Benchmark Luganda,"Omusomesa ayagala okukebera ekigendererwa kino: Okunnyonnyola nti ebiramu bikolebwa obutoffaali obumu oba obusukka era nti buno butondekeddwa mu bitundu, ebitundu by'omubiri, n'enkola z'omubiri. Mu biraga by'omuyizi ebikulu wano wansi, kiki ekikwatagana butereevu n'ekigendererwa ekyetaaga okukeberwa?
","Banannyonnyola obutaffaali bw'enkola ez'enjawulo ez'omubiri gw'omuntu
","Bategeera nti buli akataffaali kava mu kataffaali akalala akaabaddewo dda
","Zikola omukago wakati w’emitendera egy’enjawulo egy’entegeka y’ebiramu
","Balaga enkolagana wakati w’obubeezi n’omuwendo gw’ebizimbe by’obutaffaali n’emirimu gy’obutaffaali.
",,,,C,Science,Assessment,Secondary,2017,,,1.348164499970153,1749,3,,D,0.770356300054118,1748,2,,A,25.470420700032264,3611,2068,2048,D,2.3052912999410182,1835,1,0.0,C,4.674386200029403,2079,240,,C,11.552330699982122,2760,1,1021,C,14.9453480001539,2193,650,640,C,2.7751925999764357,1966,4,0,C,4.627857899991795,2440,1,701,C,1.0872089001350105,1739,1,
22,Pedagogy Benchmark Luganda,"Mu butonde bw’essomo erikwata ku nteekateeka y’ebipande by’ensi n’enkolagana yaabyo n’okutengejja kw’amazzi, okubaawo kw’emisisi, n’okubaawo kw’ebiwuluzo by’omuliro, mu bintu ebirala, omusomesa ayagala abayizi be okutegeera nti ssaayansi nkola ekyuka era ekolebwa abantu bonna okumala ekiseera. Ku bikolwa bino wammanga, kiki ky’asaanidde okusaba abayizi be okukola ng’ekitundu ky’okunoonyereza okusobola okutuukiriza ekigendererwa kye?
","Kola okunoonyereza ku bukakafu obuwagira enjigamannya y'ebipande by'ensi.
","Noonyereza ku ngeri omulamwa gwa plate tectonics gye gwazimbibwa.
","Lwaki eyitibwa ""omulamwa gw'ebipande by'ensi""?
","Noonyereza ku nkyukakyuka ezibaddewo mu kikuta ky'Ensi olw'obuyitiivu bw'ebipande by'Ensi.
",,,,B,Science,Teaching strategies,Secondary,2017,,D,1.9431461999192836,1794,3,0.0,D,0.8769570000004023,1793,2,,B,7.5984181999228895,2168,595,576,B,2.565320099936798,2325,443,,D,5.833286799956113,2190,309,,B,11.385486100101843,2733,1,949,B,21.19167619990185,2159,586,576,B,2.5133844998199493,2016,4,0,B,5.185805400134996,2592,1,808,B,1.429659799905494,1784,1,
